state,district,taluk,place,type,price,rating
Kerala,Ernakulam,Kochi,Kochi Fort 42,place,145,3.7
Kerala,Ernakulam,Kochi,Kochi Stay 43,hotel,3922,4.8
Kerala,Ernakulam,Kochi,Kochi Inn 44,hotel,4130,3.7
Kerala,Ernakulam,Kochi,Kochi Palace 45,hotel,2163,4.9
Kerala,Ernakulam,Kochi,Kochi Stay 46,hotel,3146,3.6
Kerala,Ernakulam,Kochi,Kochi Stay 47,hotel,3693,3.9
Kerala,Ernakulam,Kochi,Kochi Food Court 48,restaurant,259,3.8
Kerala,Ernakulam,Kochi,Kochi Resort 49,hotel,1166,3.5
Maharashtra,Mumbai,Mumbai,Mumbai Stay 0,hotel,2164,3.7
Maharashtra,Mumbai,Mumbai,Mumbai Temple 1,place,199,3.7
Maharashtra,Mumbai,Mumbai,Mumbai Park 2,place,4,4.0
Maharashtra,Mumbai,Mumbai,Mumbai Hill 3,place,25,4.2
Maharashtra,Mumbai,Mumbai,Mumbai Food Court 4,restaurant,674,5.0
Maharashtra,Mumbai,Mumbai,Mumbai Food Court 5,restaurant,456,4.8
Maharashtra,Mumbai,Mumbai,Mumbai Cafe 6,restaurant,448,4.2
Maharashtra,Mumbai,Mumbai,Mumbai Park 7,place,20,3.5
Maharashtra,Mumbai,Mumbai,Mumbai Restaurant 8,restaurant,208,4.0
Maharashtra,Mumbai,Mumbai,Mumbai Cafe 9,restaurant,770,3.5
Maharashtra,Mumbai,Mumbai,Mumbai Beach 10,place,300,4.7
Maharashtra,Mumbai,Mumbai,Mumbai Food Court 11,restaurant,655,3.9
Maharashtra,Mumbai,Mumbai,Mumbai Hill 12,place,48,3.9
Maharashtra,Mumbai,Mumbai,Mumbai Inn 13,hotel,2568,4.8
Maharashtra,Mumbai,Mumbai,Mumbai Restaurant 14,restaurant,302,4.7
Maharashtra,Mumbai,Mumbai,Mumbai Mess 15,restaurant,746,4.7
Maharashtra,Mumbai,Mumbai,Mumbai Temple 16,place,89,4.0
Maharashtra,Mumbai,Mumbai,Mumbai Hotel 17,hotel,4502,3.5
Maharashtra,Mumbai,Mumbai,Mumbai Hill 18,place,8,4.5
Maharashtra,Mumbai,Mumbai,Mumbai Food Court 19,restaurant,175,4.1
Maharashtra,Mumbai,Mumbai,Mumbai Resort 20,hotel,4394,4.8
Maharashtra,Mumbai,Mumbai,Mumbai Mess 21,restaurant,269,4.9
Maharashtra,Mumbai,Mumbai,Mumbai Restaurant 22,restaurant,713,4.6
Maharashtra,Mumbai,Mumbai,Mumbai Inn 23,hotel,1398,3.9
Maharashtra,Mumbai,Mumbai,Mumbai Inn 24,hotel,3672,3.9
Maharashtra,Mumbai,Mumbai,Mumbai Stay 25,hotel,3836,4.6
Maharashtra,Mumbai,Mumbai,Mumbai Inn 26,hotel,818,3.5
Maharashtra,Mumbai,Mumbai,Mumbai Palace 27,hotel,2133,4.9
Maharashtra,Mumbai,Mumbai,Mumbai Hotel 28,hotel,2141,3.7
Maharashtra,Mumbai,Mumbai,Mumbai Hotel 29,hotel,4837,3.8
Maharashtra,Mumbai,Mumbai,Mumbai Resort 30,hotel,4685,4.0
Maharashtra,Mumbai,Mumbai,Mumbai Food Court 31,restaurant,190,3.5
Maharashtra,Mumbai,Mumbai,Mumbai Restaurant 32,restaurant,711,3.6
Maharashtra,Mumbai,Mumbai,Mumbai Stay 33,hotel,4395,3.7
Maharashtra,Mumbai,Mumbai,Mumbai Mess 34,restaurant,362,4.2
Maharashtra,Mumbai,Mumbai,Mumbai Stay 35,hotel,2141,4.8
Maharashtra,Mumbai,Mumbai,Mumbai Palace 36,hotel,1008,3.8
Maharashtra,Mumbai,Mumbai,Mumbai Cafe 37,restaurant,285,4.5
Maharashtra,Mumbai,Mumbai,Mumbai Stay 38,hotel,2141,3.6
Maharashtra,Mumbai,Mumbai,Mumbai Mess 39,restaurant,279,5.0
Maharashtra,Mumbai,Mumbai,Mumbai Cafe 40,restaurant,641,4.6
Maharashtra,Mumbai,Mumbai,Mumbai Beach 41,place,7,5.0
Maharashtra,Mumbai,Mumbai,Mumbai Cafe 42,restaurant,265,4.9
Maharashtra,Mumbai,Mumbai,Mumbai Fort 43,place,147,4.4
Maharashtra,Mumbai,Mumbai,Mumbai Resort 44,hotel,3117,4.9
Maharashtra,Mumbai,Mumbai,Mumbai Mess 45,restaurant,588,4.6
Maharashtra,Mumbai,Mumbai,Mumbai Mess 46,restaurant,353,4.7
Maharashtra,Mumbai,Mumbai,Mumbai Mess 47,restaurant,783,4.2
Maharashtra,Mumbai,Mumbai,Mumbai Fort 48,place,257,4.6
Maharashtra,Mumbai,Mumbai,Mumbai Mess 49,restaurant,656,4.0
